date,hospitalized,hospitalizedConfirmed,hospitalizedIcu,hospitalizedTestResultsPending,hospitalizedVentilator,ventilatorsOnHand,ventilatorsInUse,ventilatorsUtilization,bedAvailability,hospitalsPpeDifficulty,hospitalsOtherDifficulty,discharged,icuOccupancy,icuSurgeBeds,icuSurgeOccupancy
2020-04-07,1183,589,408,594,283,2533,692,0.27,5461,11,1,,,,
2020-04-08,1289,649,468,640,293,2574,705,0.27,5325,12,3,,,,
2020-04-09,1296,669,469,627,285,2734,700,0.26,5691,7,2,,,,
2020-04-10,1238,717,457,521,287,2797,686,0.25,5846,8,3,,,,
2020-04-11,1252,735,426,517,283,2801,654,0.23,5975,8,3,,,,
2020-04-12,1272,751,440,521,294,2815,627,0.22,5953,7,2,,,,
2020-04-13,1238,765,428,473,302,2833,659,0.23,5970,7,2,467,,,
2020-04-14,1282,813,422,469,276,2838,709,0.25,5991,7,2,721,,,
2020-04-15,1298,802,394,496,234,2865,695,0.24,5617,6,1,752,,,
2020-04-16,1337,800,427,537,238,2841,700,0.25,5543,6,1,951,,,
2020-04-17,1308,809,400,499,224,2862,622,0.22,5587,6,1,1110,,,
2020-04-18,1307,821,398,486,230,2865,608,0.21,6097,6,1,1228,,,
2020-04-19,1319,820,388,499,231,2886,598,0.21,5853,6,1,1267,,,
2020-04-20,1296,828,396,468,237,2908,626,0.22,5961,6,1,1324,,,
2020-04-21,1331,854,403,477,251,2887,629,0.22,5465,6,1,1418,,,
2020-04-22,1374,879,419,495,244,2888,650,0.23,5519,3,0,1497,,,
2020-04-23,1379,887,400,492,249,2899,635,0.22,5327,3,0,1567,,,
2020-04-24,1399,912,379,487,220,2903,646,0.22,5485,4,1,1672,,,
2020-04-25,1405,923,357,482,223,2935,629,0.21,5353,3,1,1717,,,
2020-04-26,1436,897,387,539,217,2987,649,0.22,5320,2,1,1815,,,
2020-04-27,1455,913,389,542,217,2982,616,0.21,5433,2,1,1843,,,
2020-04-28,1508,948,376,560,217,2988,596,0.20,5177,2,1,1914,,,
2020-04-29,1566,946,387,620,222,2997,589,0.20,5152,1,0,2042,,,
2020-04-30,1550,967,372,583,208,2974,613,0.21,5099,2,1,2104,,,
2020-05-01,1431,963,366,468,193,2953,593,0.20,5181,2,1,2196,,,
2020-05-02,1426,968,375,458,202,2932,589,0.20,5070,1,1,2312,,,
2020-05-03,1413,948,385,465,193,2950,589,0.20,5187,0,0,2497,,,
2020-05-04,1463,985,348,478,192,2938,593,0.20,5017,0,0,2547,,,
2020-05-05,1496,1027,361,469,189,2952,591,0.20,4726,0,0,2617,,,
2020-05-06,1594,1079,396,515,192,2917,603,0.21,4761,0,0,2734,,,
2020-05-07,1613,1094,371,519,203,2912,587,0.20,4683,0,0,2825,,,
2020-05-08,1625,1076,378,549,199,2935,591,0.20,4635,0,0,2997,,,
2020-05-09,1593,1092,367,501,198,2920,623,0.21,4698,0,0,3124,,,
2020-05-10,1555,1049,351,506,187,2874,600,.21,4686,0,0,3201,,,
2020-05-11,1504,1072,362,432,194,2885,602,.21,4647,0,0,3273,,,
2020-05-12,1529,1082,364,447,201,2937,662,.23,4784,0,0,3400,,,
2020-05-13,1526,1041,374,485,202,2935,656,.22,4546,0,0,3554,,,
2020-05-14,1533,1037,355,496,201,2942,652,.22,4360,0,0,3678,,,
2020-05-15,1511,1053,362,458,195,2953,624,.21,4328,0,0,3805,,,
2020-05-16,1505,1020,381,485,189,2952,621,.21,4477,0,0,3909,,,
2020-05-17,1524,997,379,527,195,2940,611,.21,4550,0,0,3993,,,
2020-05-18,1502,972,361,530,194,2933,629,0.21,4389,0,0,4107,,,
2020-05-19,1497,1024,377,473,199,2947,638,.22,4411,0,0,4271,,,
2020-05-20,1536,1018,370,518,202,2947,638,.22,4264,0,0,4523,,,
2020-05-21,1491,1001,351,490,191,2956,627,.21,4250,0,0,4778,,,
